year,month,circle,type_of_connection,service_provider,value,notes
2025,March,Uttar Pradesh (West),wireless,BSNL,4984322,
2025,March,West Bengal,wireless,BSNL,2637783,
2025,March,All India,wireless,BSNL,91060664,
2025,March,Andhra Pradesh,wireless,MTNL,,
2025,March,Assam,wireless,MTNL,,
2025,March,Bihar,wireless,MTNL,,
2025,March,Delhi,wireless,MTNL,789314,
2025,March,Gujarat,wireless,MTNL,,
2025,March,Haryana,wireless,MTNL,,
2025,March,Himachal Pradesh,wireless,MTNL,,
2025,March,Jammu and Kashmir,wireless,MTNL,,
2025,March,Karnataka,wireless,MTNL,,
2025,March,Kerala,wireless,MTNL,,
2025,March,Kolkata,wireless,MTNL,1454781,
2025,March,Madhya Pradesh,wireless,MTNL,,
2025,March,Maharashtra,wireless,MTNL,,
2025,March,Mumbai,wireless,MTNL,208915,
2025,March,North East,wireless,MTNL,,
2025,March,Odisha,wireless,MTNL,,
2025,March,Punjab,wireless,MTNL,,
2025,March,Rajasthan,wireless,MTNL,,
2025,March,Tamil Nadu,wireless,MTNL,,
2025,March,Uttar Pradesh (East),wireless,MTNL,,
2025,March,Uttar Pradesh (West),wireless,MTNL,,
2025,March,West Bengal,wireless,MTNL,,
2025,March,All India,wireless,MTNL,998229,
2025,March,Andhra Pradesh,wireless,Reliance Jio,31776074,
2025,March,Assam,wireless,Reliance Jio,9726580,
2025,March,Bihar,wireless,Reliance Jio,41730845,
2025,March,Delhi,wireless,Reliance Jio,19802703,
2025,March,Gujarat,wireless,Reliance Jio,30117232,
2025,March,Haryana,wireless,Reliance Jio,8303012,
2025,March,Himachal Pradesh,wireless,Reliance Jio,3216541,
2025,March,Jammu and Kashmir,wireless,Reliance Jio,4873069,
2025,March,Karnataka,wireless,Reliance Jio,24786795,
2025,March,Kerala,wireless,Reliance Jio,10699305,
2025,March,Kolkata,wireless,Reliance Jio,10710207,
2025,March,Madhya Pradesh,wireless,Reliance Jio,45194727,
2025,March,Maharashtra,wireless,Reliance Jio,42565948,
2025,March,Mumbai,wireless,Reliance Jio,13172111,
2025,March,North East,wireless,Reliance Jio,4305145,
2025,March,Odisha,wireless,Reliance Jio,15956645,
2025,March,Punjab,wireless,Reliance Jio,11347016,
2025,March,Rajasthan,wireless,Reliance Jio,26378934,
2025,March,Tamil Nadu,wireless,Reliance Jio,24608262,
2025,March,Uttar Pradesh (East),wireless,Reliance Jio,41697984,
2025,March,Uttar Pradesh (West),wireless,Reliance Jio,24399462,
2025,March,West Bengal,wireless,Reliance Jio,24395255,
2025,March,All India,wireless,Reliance Jio,469763852,
2025,February,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33860754,
2025,February,Assam,wireless,Bharti Airtel (Including Tata Tele.),12055507,
2025,February,Bihar,wireless,Bharti Airtel (Including Tata Tele.),40895126,
2025,February,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18682396,
2025,February,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12352213,
2025,February,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7191413,
2025,February,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3569833,
2025,February,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6132818,
2025,February,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32280135,
2025,February,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8892846,
2025,February,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5461847,
2025,February,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16591031,
2025,February,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22587314,
2025,February,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10129508,
2025,February,North East,wireless,Bharti Airtel (Including Tata Tele.),6297679,
2025,February,Odisha,wireless,Bharti Airtel (Including Tata Tele.),11810695,
2025,February,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12500330,
2025,February,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23346647,
2025,February,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30067680,
2025,February,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36539391,
2025,February,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18893870,
2025,February,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18414246,
2025,February,All India,wireless,Bharti Airtel (Including Tata Tele.),388553279,
2025,February,Andhra Pradesh,wireless,Reliance Communications,0,
2025,February,Assam,wireless,Reliance Communications,0,
2025,February,Bihar,wireless,Reliance Communications,0,
2025,February,Delhi,wireless,Reliance Communications,1,
2025,February,Gujarat,wireless,Reliance Communications,13,
2025,February,Haryana,wireless,Reliance Communications,0,
2025,February,Himachal Pradesh,wireless,Reliance Communications,0,
2025,February,Jammu and Kashmir,wireless,Reliance Communications,0,
2025,February,Karnataka,wireless,Reliance Communications,411,
2025,February,Kerala,wireless,Reliance Communications,0,
2025,February,Kolkata,wireless,Reliance Communications,0,
2025,February,Madhya Pradesh,wireless,Reliance Communications,0,
2025,February,Maharashtra,wireless,Reliance Communications,0,
2025,February,Mumbai,wireless,Reliance Communications,66,
2025,February,North East,wireless,Reliance Communications,0,
2025,February,Odisha,wireless,Reliance Communications,0,
2025,February,Punjab,wireless,Reliance Communications,6,
2025,February,Rajasthan,wireless,Reliance Communications,80,
2025,February,Tamil Nadu,wireless,Reliance Communications,0,
2025,February,Uttar Pradesh (East),wireless,Reliance Communications,0,
2025,February,Uttar Pradesh (West),wireless,Reliance Communications,0,
2025,February,West Bengal,wireless,Reliance Communications,9,
2025,February,All India,wireless,Reliance Communications,586,
2025,February,Andhra Pradesh,wireless,Vodafone Idea,9845623,
2025,February,Assam,wireless,Vodafone Idea,1417678,
2025,February,Bihar,wireless,Vodafone Idea,7656740,
2025,February,Delhi,wireless,Vodafone Idea,16609337,
2025,February,Gujarat,wireless,Vodafone Idea,19675139,
2025,February,Haryana,wireless,Vodafone Idea,6369641,
2025,February,Himachal Pradesh,wireless,Vodafone Idea,370541,
2025,February,Jammu and Kashmir,wireless,Vodafone Idea,248300,
2025,February,Karnataka,wireless,Vodafone Idea,6678934,
2025,February,Kerala,wireless,Vodafone Idea,12982134,
2025,February,Kolkata,wireless,Vodafone Idea,4889056,
2025,February,Madhya Pradesh,wireless,Vodafone Idea,13723887,
2025,February,Maharashtra,wireless,Vodafone Idea,20415258,
2025,February,Mumbai,wireless,Vodafone Idea,10700586,
2025,February,North East,wireless,Vodafone Idea,643723,
2025,February,Odisha,wireless,Vodafone Idea,1394725,
2025,February,Punjab,wireless,Vodafone Idea,6058132,
2025,February,Rajasthan,wireless,Vodafone Idea,9218487,
2025,February,Tamil Nadu,wireless,Vodafone Idea,14807824,
2025,February,Uttar Pradesh (East),wireless,Vodafone Idea,16061155,
