year,month,circle,type_of_connection,service_provider,value,unit,notes
2025,February,Jammu and Kashmir,wireless,Reliance Communications,0,value in absolute number,
2025,February,Karnataka,wireless,Reliance Communications,411,value in absolute number,
2025,February,Kerala,wireless,Reliance Communications,0,value in absolute number,
2025,February,Kolkata,wireless,Reliance Communications,0,value in absolute number,
2025,February,Madhya Pradesh,wireless,Reliance Communications,0,value in absolute number,
2025,February,Maharashtra,wireless,Reliance Communications,0,value in absolute number,
2025,February,Mumbai,wireless,Reliance Communications,66,value in absolute number,
2025,February,North East,wireless,Reliance Communications,0,value in absolute number,
2025,February,Odisha,wireless,Reliance Communications,0,value in absolute number,
2025,February,Punjab,wireless,Reliance Communications,6,value in absolute number,
2025,February,Rajasthan,wireless,Reliance Communications,80,value in absolute number,
2025,February,Tamil Nadu,wireless,Reliance Communications,0,value in absolute number,
2025,February,Uttar Pradesh (East),wireless,Reliance Communications,0,value in absolute number,
2025,February,Uttar Pradesh (West),wireless,Reliance Communications,0,value in absolute number,
2025,February,West Bengal,wireless,Reliance Communications,9,value in absolute number,
2025,February,All India,wireless,Reliance Communications,586,value in absolute number,
2025,February,Andhra Pradesh,wireless,Vodafone Idea,9845623,value in absolute number,
2025,February,Assam,wireless,Vodafone Idea,1417678,value in absolute number,
2025,February,Bihar,wireless,Vodafone Idea,7656740,value in absolute number,
2025,February,Delhi,wireless,Vodafone Idea,16609337,value in absolute number,
2025,February,Gujarat,wireless,Vodafone Idea,19675139,value in absolute number,
2025,February,Haryana,wireless,Vodafone Idea,6369641,value in absolute number,
2025,February,Himachal Pradesh,wireless,Vodafone Idea,370541,value in absolute number,
2025,February,Jammu and Kashmir,wireless,Vodafone Idea,248300,value in absolute number,
2025,February,Karnataka,wireless,Vodafone Idea,6678934,value in absolute number,
2025,February,Kerala,wireless,Vodafone Idea,12982134,value in absolute number,
2025,February,Kolkata,wireless,Vodafone Idea,4889056,value in absolute number,
2025,February,Madhya Pradesh,wireless,Vodafone Idea,13723887,value in absolute number,
2025,February,Maharashtra,wireless,Vodafone Idea,20415258,value in absolute number,
2025,February,Mumbai,wireless,Vodafone Idea,10700586,value in absolute number,
2025,February,North East,wireless,Vodafone Idea,643723,value in absolute number,
2025,February,Odisha,wireless,Vodafone Idea,1394725,value in absolute number,
2025,February,Punjab,wireless,Vodafone Idea,6058132,value in absolute number,
2025,February,Rajasthan,wireless,Vodafone Idea,9218487,value in absolute number,
2025,February,Tamil Nadu,wireless,Vodafone Idea,14807824,value in absolute number,
2025,February,Uttar Pradesh (East),wireless,Vodafone Idea,16061155,value in absolute number,
2025,February,Uttar Pradesh (West),wireless,Vodafone Idea,14411142,value in absolute number,
2025,February,West Bengal,wireless,Vodafone Idea,11722068,value in absolute number,
2025,February,All India,wireless,Vodafone Idea,205900110,value in absolute number,
2025,February,Andhra Pradesh,wireless,BSNL,6903380,value in absolute number,
2025,February,Assam,wireless,BSNL,2967914,value in absolute number,
2025,February,Bihar,wireless,BSNL,5782332,value in absolute number,
2025,February,Delhi,wireless,BSNL,,value in absolute number,
2025,February,Gujarat,wireless,BSNL,3302506,value in absolute number,
2025,February,Haryana,wireless,BSNL,4204949,value in absolute number,
2025,February,Himachal Pradesh,wireless,BSNL,1672546,value in absolute number,
2025,February,Jammu and Kashmir,wireless,BSNL,862014,value in absolute number,
2025,February,Karnataka,wireless,BSNL,4568771,value in absolute number,
2025,February,Kerala,wireless,BSNL,8749409,value in absolute number,
2025,February,Kolkata,wireless,BSNL,1453411,value in absolute number,
2025,February,Madhya Pradesh,wireless,BSNL,5150121,value in absolute number,
